sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.05,-1,quad,0.1,data/Exp1/quad/scatter/S0.05m-0.1.png,,0,-0.19,0.09,0.09,0
0.15,-1,line,0.1,data/Exp1/line/scatter/S0.15m-0.1.png,,0,-0.66,0.56,0.56,1
0.1,1,line,0.8,data/Exp1/line/scatter/S0.1m0.8.png,,0,0.85,-0.05,0.05,2
0.2,1,quad,0.2,data/Exp1/quad/scatter/S0.2m0.2.png,,0,0.76,-0.56,0.56,3
0.15,-1,line,0.8,data/Exp1/line/scatter/S0.15m-0.8.png,,0,-1,0.2,0.2,4
0.15,1,trig,0.4,data/Exp1/trig/scatter/S0.15m0.4.png,,0,0.58,-0.18,0.18,5
0.05,1,line,0.8,data/Exp1/line/scatter/S0.05m0.8.png,,0,0.93,-0.13,0.13,6
0.15,-1,trig,0.2,data/Exp1/trig/scatter/S0.15m-0.2.png,,0,-0.5,0.3,0.3,7
0.1,-1,line,0.8,data/Exp1/line/scatter/S0.1m-0.8.png,,0,-0.91,0.11,0.11,8
0.2,-1,line,0.8,data/Exp1/line/scatter/S0.2m-0.8.png,,0,-1,0.2,0.2,9
0.05,-1,quad,0.8,data/Exp1/quad/scatter/S0.05m-0.8.png,,0,-0.89,0.09,0.09,10
0.1,-1,trig,0.2,data/Exp1/trig/scatter/S0.1m-0.2.png,,0,-0.35,0.15,0.15,11
0.2,-1,trig,0.8,data/Exp1/trig/scatter/S0.2m-0.8.png,,0,-1,0.2,0.2,12
0.05,1,line,0.4,data/Exp1/line/scatter/S0.05m0.4.png,,0,0.48,-0.08,0.08,13
0.2,1,quad,0.8,data/Exp1/quad/scatter/S0.2m0.8.png,,0,1,-0.2,0.2,14
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,0,-0.87,0.07,0.07,15
0.15,1,line,0.4,data/Exp1/line/scatter/S0.15m0.4.png,,0,0.96,-0.56,0.56,16
0.2,-1,line,0.4,data/Exp1/line/scatter/S0.2m-0.4.png,,0,-0.86,0.46,0.46,17
0.05,1,line,0.1,data/Exp1/line/scatter/S0.05m0.1.png,,0,0.14,-0.04,0.04,18
0.05,1,line,0.2,data/Exp1/line/scatter/S0.05m0.2.png,,0,0.28,-0.08,0.08,19
0.2,-1,quad,0.8,data/Exp1/quad/scatter/S0.2m-0.8.png,,0,-0.97,0.17,0.17,20
0.1,-1,line,0.1,data/Exp1/line/scatter/S0.1m-0.1.png,,0,-0.26,0.16,0.16,21
0.15,-1,trig,0.1,data/Exp1/trig/scatter/S0.15m-0.1.png,,0,-0.46,0.36,0.36,22
0.2,1,quad,0.1,data/Exp1/quad/scatter/S0.2m0.1.png,,0,0.55,-0.45,0.45,23
0.1,1,trig,0.2,data/Exp1/trig/scatter/S0.1m0.2.png,,0,0.49,-0.29,0.29,24
0.1,-1,quad,0.2,data/Exp1/quad/scatter/S0.1m-0.2.png,,0,-0.27,0.07,0.07,25
0.05,1,trig,0.2,data/Exp1/trig/scatter/S0.05m0.2.png,,0,0.32,-0.12,0.12,26
0.1,-1,quad,0.4,data/Exp1/quad/scatter/S0.1m-0.4.png,,0,-0.58,0.18,0.18,27
0.05,-1,line,0.2,data/Exp1/line/scatter/S0.05m-0.2.png,,0,-0.22,0.02,0.02,28
0.1,1,quad,0.2,data/Exp1/quad/scatter/S0.1m0.2.png,,0,0.28,-0.08,0.08,29
0.2,1,line,0.8,data/Exp1/line/scatter/S0.2m0.8.png,,0,0.87,-0.07,0.07,30
0.1,1,quad,0.1,data/Exp1/quad/scatter/S0.1m0.1.png,,0,0.19,-0.09,0.09,31
0.1,-1,quad,0.8,data/Exp1/quad/scatter/S0.1m-0.8.png,,0,-0.84,0.04,0.04,32
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,0,-0.73,0.33,0.33,34
0.2,1,trig,0.1,data/Exp1/trig/scatter/S0.2m0.1.png,,0,-0.51,0.61,0.61,35
0.15,-1,quad,0.1,data/Exp1/quad/scatter/S0.15m-0.1.png,,0,-0.39,0.29,0.29,36
0.2,1,line,0.1,data/Exp1/line/scatter/S0.2m0.1.png,,0,0.55,-0.45,0.45,37
0.2,1,trig,0.2,data/Exp1/trig/scatter/S0.2m0.2.png,,0,0.55,-0.35,0.35,38
0.15,-1,quad,0.8,data/Exp1/quad/scatter/S0.15m-0.8.png,,0,-0.83,0.03,0.03,39
0.2,1,quad,0.4,data/Exp1/quad/scatter/S0.2m0.4.png,,0,0.54,-0.14,0.14,40
0.15,1,line,0.8,data/Exp1/line/scatter/S0.15m0.8.png,,0,0.82,-0.02,0.02,41
0.15,1,quad,0.1,data/Exp1/quad/scatter/S0.15m0.1.png,,0,0.36,-0.26,0.26,42
0.1,1,line,0.2,data/Exp1/line/scatter/S0.1m0.2.png,,0,0.32,-0.12,0.12,43
0.1,1,trig,0.4,data/Exp1/trig/scatter/S0.1m0.4.png,,0,0.55,-0.15,0.15,44
0.15,-1,line,0.4,data/Exp1/line/scatter/S0.15m-0.4.png,,0,-0.58,0.18,0.18,45
0.1,1,quad,0.4,data/Exp1/quad/scatter/S0.1m0.4.png,,0,0.52,-0.12,0.12,46
0.2,1,trig,0.4,data/Exp1/trig/scatter/S0.2m0.4.png,,0,0.78,-0.38,0.38,47
0.2,-1,quad,0.4,data/Exp1/quad/scatter/S0.2m-0.4.png,,0,-0.91,0.51,0.51,48
0.15,-1,trig,0.4,data/Exp1/trig/scatter/S0.15m-0.4.png,,0,-0.63,0.23,0.23,49
0.2,-1,line,0.2,data/Exp1/line/scatter/S0.2m-0.2.png,,0,-0.72,0.52,0.52,50
0.05,1,trig,0.4,data/Exp1/trig/scatter/S0.05m0.4.png,,0,0.47,-0.07,0.07,52
0.05,-1,trig,0.4,data/Exp1/trig/scatter/S0.05m-0.4.png,,0,-0.47,0.07,0.07,53
0.1,1,line,0.4,data/Exp1/line/scatter/S0.1m0.4.png,,0,0.57,-0.17,0.17,54
0.05,-1,trig,0.1,data/Exp1/trig/scatter/S0.05m-0.1.png,,0,-0.17,0.07,0.07,55
0.05,-1,trig,0.8,data/Exp1/trig/scatter/S0.05m-0.8.png,,0,-0.8,0,0,57
0.1,-1,line,0.2,data/Exp1/line/scatter/S0.1m-0.2.png,,0,-0.52,0.32,0.32,56
0.05,1,trig,0.8,data/Exp1/trig/scatter/S0.05m0.8.png,,0,0.75,0.05,0.05,58
0.15,1,line,0.1,data/Exp1/line/scatter/S0.15m0.1.png,,0,0.37,-0.27,0.27,59
0.1,-1,trig,0.4,data/Exp1/trig/scatter/S0.1m-0.4.png,,0,-0.55,0.15,0.15,60
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,0,0.59,-0.39,0.39,61
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,0,-0.55,0.15,0.15,62
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,0,-0.3,0.1,0.1,63
